phylo_id,curator,introduced_in,commit_date,commit_subject
PHYLO_0001,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0002,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0003,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0004,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0005,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0006,,b95f9d21112e,2020-07-14,Added expectation for Ascomycota.
PHYLO_0007,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0008,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0009,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0010,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0011,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0012,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0013,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0014,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0015,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0016,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0017,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0018,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0019,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0020,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0021,Anna,48bec1b75cc6,2020-06-30,Imported some files from Anna's transcribed phylogenies.
PHYLO_0022,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0023,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0024,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0025,Anna,48bec1b75cc6,2020-06-30,Imported some files from Anna's transcribed phylogenies.
PHYLO_0026,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0027,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0028,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0029,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0030,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0031,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0032,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0033,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0034,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0035,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0036,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0037,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0038,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0039,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0040,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0041,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0042,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0043,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0044,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0045,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0046,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0047,Anna,48bec1b75cc6,2020-06-30,Imported some files from Anna's transcribed phylogenies.
PHYLO_0048,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0049,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0050,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0051,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0052,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0053,,43257850486d,2021-07-02,Updated Newicks (also messes up specifiers).
PHYLO_0054,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0055,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0056,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0057,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0058,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0059,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0060,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0061,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0062,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0063,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0064,,c835e62aee9e,2020-08-25,Fixed specifier authorities in Phyx files.
PHYLO_0065,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0066,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0067,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0068,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0069,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0070,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0071,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0072,,43257850486d,2021-07-02,Updated Newicks (also messes up specifiers).
PHYLO_0073,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0074,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0075,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0076,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0077,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0078,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0079,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0080,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0081,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0082,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0083,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0084,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0085,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0086,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0087,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0088,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0089,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0090,,be77491b4b2d,2020-08-09,Manually labeled one expected resolution.
PHYLO_0091,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0092,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0093,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0094,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0095,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0096,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0097,Anna,389d8b7fc7a5,2020-06-30,Added phylogenies transcribed or obtained by Anna.
PHYLO_0098,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0099,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0100,Anna,48bec1b75cc6,2020-06-30,Imported some files from Anna's transcribed phylogenies.
PHYLO_0101,,c835e62aee9e,2020-08-25,Fixed specifier authorities in Phyx files.
PHYLO_0102,,43257850486d,2021-07-02,Updated Newicks (also messes up specifiers).
PHYLO_0103,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0104,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0105,Anna,48bec1b75cc6,2020-06-30,Imported some files from Anna's transcribed phylogenies.
PHYLO_0106,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0107,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0108,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0109,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0110,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0111,Anna,e1a43102e33b,2020-08-09,Updated phylogenies with latest.
PHYLO_0112,Anna,966f14ccb66e,2020-07-13,Imported phylogenies curated by Anna.
PHYLO_0113,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0114,RS,038261b3583d,2018-07-17,Updated Amorphea from RS.
PHYLO_0115,RS,f0f921dd91af,2018-08-14,Added new phyloreferences from RS.
PHYLO_0116,RS,c7ebb01c5761,2018-07-06,Reorganized PHYX files into a single folder.
PHYLO_0117,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0118,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0119,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0120,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0121,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0122,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0123,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0124,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0125,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0126,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
PHYLO_0127,Anna,a17d588fb82f,2020-10-07,Updated phylogenies with latest from Anna.
