phylo_id,num_references,clado_ids,label,citation_doi,newick_whitespace_variants,citation_divergence,notes_carried
PHYLO_0001,1,"CLADO_0000006","Mallatt & Winchell 2007, fig. 1","10.1016/j.ympev.2006.11.023",1,,""
PHYLO_0002,1,"CLADO_0000007","Modesto 1999, fig. 4A","",1,,""
PHYLO_0003,1,"CLADO_0000014","Hilton & Bateman 2006, fig. 10","10.3159/1095-5674(2006)133[119:patbos]2.0.co;2",1,,""
PHYLO_0004,1,"CLADO_0000015","Crane et al. 2004, fig. 1","",1,,""
PHYLO_0005,1,"CLADO_0000016","Burki et al. 2008, fig. 1","10.1098/rsbl.2008.0224",1,,""
PHYLO_0006,1,"CLADO_0000017","Bauer et al. 2015, fig. 2","",1,,""
PHYLO_0007,2,"CLADO_0000019 CLADO_0000045","James et al. 2006, fig. 1","10.1038/nature05110",1,,""
PHYLO_0008,1,"CLADO_0000022","Olmstead et al. 2009, fig. 1","",1,,""
PHYLO_0009,1,"CLADO_0000025","Kon et al. 2007, fig. 3","10.1186/1471-2148-7-127",1,,""
PHYLO_0010,1,"CLADO_0000026","Cocquyt et al. 2009, fig. 1","10.1186/1471-2148-9-39",1,,""
PHYLO_0011,1,"CLADO_0000028","Delsuc et al. 2008, fig. 1","",1,,""
PHYLO_0012,1,"CLADO_0000029","Hammerschmidt et al. 1996, fig. 2","10.1111/j.1550-7408.1996.tb01396.x",1,,""
PHYLO_0013,1,"CLADO_0000030","Saarela et al. 2008, fig. 2","10.1139/b08-063",1,,""
PHYLO_0014,4,"CLADO_0000033 CLADO_0000054 CLADO_0000089 CLADO_0000095","Willems et al. 2006, fig. 1","10.1111/j.1463-6409.2005.00216.x",1,,""
PHYLO_0015,1,"CLADO_0000034","Simakov et al. 2015, fig. 1","10.1038/nature16150",1,,""
PHYLO_0016,1,"CLADO_0000035","Bauer et al. 2015, fig. 2","10.1371/journal.pone.0128183",1,,""
PHYLO_0017,3,"CLADO_0000036 CLADO_0000037 CLADO_0000066","Hampl et al. 2009, fig. 1","10.1073/pnas.0807880106",1,,""
PHYLO_0018,3,"CLADO_0000039 CLADO_0000049 CLADO_0000087","Cameron 2005, fig. 5","10.1139/z04-190",1,,""
PHYLO_0019,1,"CLADO_0000040","Kron et al., fig. 7, 1-6","10.1663/0006-8101(2002)068[0335:pcoema]2.0.co;2",1,,""
PHYLO_0020,1,"CLADO_0000043","Pryer et al. 2001, fig. 1","10.1038/35054555",1,,""
PHYLO_0021,1,"CLADO_0000046","Backlund et al. 2000, fig. 1","10.2307/2657003",1,,""
PHYLO_0022,1,"CLADO_0000050","Forrest et al. 2006, fig. 1","",1,,""
PHYLO_0023,1,"CLADO_0000072","Brown et al. 2009, fig. 3","10.1093/molbev/msp185",1,,""
PHYLO_0024,1,"CLADO_0000073","Xia et al. 2009, fig. 4","10.3732/ajb.0800195",1,,""
PHYLO_0025,1,"CLADO_0000074","Vallin & Laurin 2004, fig. 6","10.1671/5.1",1,,""
PHYLO_0026,2,"CLADO_0000076 CLADO_0000079","Spaulding & Flynn 2012, fig. 1","10.1080/14772019.2011.630681",1,,""
PHYLO_0027,1,"CLADO_0000077","Doyle 2006, fig. 8","",1,,""
