clado_id,label,source_pr,source_branch,source_commit,commit_author,commit_date,source_path,target_slot,matched_on,citation_doi,figure,tip_count,newick_chars
CLADO_0000002,Lobelioideae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000002.json,0:primaryPhylogenyCitation,doi:10.1016/j.ympev.2007.06.015,10.1016/j.ympev.2007.06.015,,76,1640
CLADO_0000008,Amorphea,45,summer_curation,c7ebb01c57619ff03d320b18645b198442f300d0,Gaurav Vaidya,2018-07-06T19:13:56-04:00,phyx/encrypted/phylonym/phyloref.amorphea.Minge2009.2.json,0:primaryPhylogenyCitation,doi:10.1098/rspb.2008.1358,10.1098/rspb.2008.1358,Fig 2 From Minge et al. 2009,37,955
CLADO_0000009,Amphibia,45,summer_curation,f0f921dd91af03482339232a7540dbdd52e5e848,Gaurav Vaidya,2018-08-14T15:15:45-04:00,phyx/encrypted/phylonym/phyloref.amphibia.Vallin2004.json,0:primaryPhylogenyCitation,doi:10.1671/5.1,10.1671/5.1,Vallin and Laurin 2004 Fig. 6,48,691
CLADO_0000011,Angiospermae,45,summer_curation,c7ebb01c57619ff03d320b18645b198442f300d0,Gaurav Vaidya,2018-07-06T19:13:56-04:00,phyx/encrypted/phylonym/phyloref.angiospermae.Doyle2018.json,0:primaryPhylogenyCitation,doi:10.1086/589887,10.1086/589887,Fig. 3C Doyle 2018 Angiospermae,35,488
CLADO_0000018,Asteridae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000018.json,0:primaryPhylogenyCitation,"fingerprint:soltis|2011|angiosperm phylogeny: 17-genes, 640 taxa",,,21,300
CLADO_0000020,Campanulaceae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000020.json,0:primaryPhylogenyCitation,fingerprint:tank|2010|phylogeny and phylogenetic nomenclature of campanulideae based on an expanded sample of genes and taxa,,,122,1497
CLADO_0000021,Campanuloideae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000021.json,0:primaryPhylogenyCitation,doi:10.1111/j.1365-2699.2008.02077.x,10.1111/j.1365-2699.2008.02077.x,,75,1669
CLADO_0000024,Caryophyllales,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000024.json,0:primaryPhylogenyCitation,doi:10.1111/j.1095-8339.2000.tb01588.x,10.1111/j.1095-8339.2000.tb01588.x,,72,868
CLADO_0000031,Coniferae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000031.json,0:primaryPhylogenyCitation,doi:10.1086/338321,10.1086/338321,,119,1638
CLADO_0000032,Convolvulaceae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000032.json,0:primaryPhylogenyCitation,doi:10.3732/ajb.89.9.1510,10.3732/ajb.89.9.1510,,146,2534
CLADO_0000044,Feliformia,79,add-support-for-testing-against-open-tree,d6b77d4bfd2f0928687a32c0f7d9c2e5d2283fb0,Gaurav Vaidya,2020-07-13T17:03:57-04:00,phyx/encrypted/phylonym/CLADO_0000044.json,0:primaryPhylogenyCitation,doi:10.1080/10635150590923326,10.1080/10635150590923326,,123,1517
CLADO_0000165,Cnidaria,79,add-support-for-testing-against-open-tree,d6b77d4bfd2f0928687a32c0f7d9c2e5d2283fb0,Gaurav Vaidya,2020-07-13T17:03:57-04:00,phyx/encrypted/phylonym/CLADO_0000165.json,0:primaryPhylogenyCitation,doi:10.1046/j.1420-9101.2002.00403,10.1046/j.1420-9101.2002.00403,,218,2866
CLADO_0000247,Apiidae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000247.json,0:primaryPhylogenyCitation,doi:10.3732/ajb.1000404,10.3732/ajb.1000404,,21,303
CLADO_0000280,Cuculidae,79,add-support-for-testing-against-open-tree,a17d588fb82fccfae412ef3d4e8ba418d78a3b01,Gaurav Vaidya,2020-10-07T11:25:19-04:00,phyx/encrypted/phylonym/CLADO_0000280.json,0:primaryPhylogenyCitation,fingerprint:payne|2005|bird families of the world: cuckoos,,,32,411
CLADO_0000297,Foraminifera,79,add-support-for-testing-against-open-tree,d6b77d4bfd2f0928687a32c0f7d9c2e5d2283fb0,Gaurav Vaidya,2020-07-13T17:03:57-04:00,phyx/encrypted/phylonym/CLADO_0000297.json,0:primaryPhylogenyCitation,doi:10.1016/j.marmicro.2013.04.002,10.1016/j.marmicro.2013.04.002,,74,784
